,reaction name,,total,fatal,name0,name1,level,vax_name,sheet
77,Platelet disorders NEC,,,,Blood disorders,,2,pfizer,Table 24
78,Platelet anisocytosis,,1.0,0.0,Blood disorders,Platelet disorders NEC,3,pfizer,Table 24
79,Platelet disorder,,4.0,0.0,Blood disorders,Platelet disorders NEC,3,pfizer,Table 24
80,Polycythaemia (excl rubra vera),,,,Blood disorders,,2,pfizer,Table 24
81,Polycythaemia,,2.0,0.0,Blood disorders,Polycythaemia (excl rubra vera),3,pfizer,Table 24
82,Purpuras (excl thrombocytopenic),,,,Blood disorders,,2,pfizer,Table 24
83,Purpura non-thrombocytopenic,,1.0,0.0,Blood disorders,Purpuras (excl thrombocytopenic),3,pfizer,Table 24
84,Red blood cell abnormal findings NEC,,,,Blood disorders,,2,pfizer,Table 24
85,Macrocytosis,,1.0,0.0,Blood disorders,Red blood cell abnormal findings NEC,3,pfizer,Table 24
86,Polychromasia,,2.0,0.0,Blood disorders,Red blood cell abnormal findings NEC,3,pfizer,Table 24
87,Red blood cell abnormality,,2.0,0.0,Blood disorders,Red blood cell abnormal findings NEC,3,pfizer,Table 24
88,Spleen disorders,,,,Blood disorders,,2,pfizer,Table 24
89,Spleen atrophy,,1.0,0.0,Blood disorders,Spleen disorders,3,pfizer,Table 24
90,Splenic infarction,,2.0,0.0,Blood disorders,Spleen disorders,3,pfizer,Table 24
91,Splenic thrombosis,,1.0,0.0,Blood disorders,Spleen disorders,3,pfizer,Table 24
92,Splenic vein thrombosis,,1.0,0.0,Blood disorders,Spleen disorders,3,pfizer,Table 24
93,Splenomegaly,,11.0,0.0,Blood disorders,Spleen disorders,3,pfizer,Table 24
94,Thrombocytopenias,,,,Blood disorders,,2,pfizer,Table 24
95,Immune thrombocytopenia,,72.0,0.0,Blood disorders,Thrombocytopenias,3,pfizer,Table 24
96,Thrombocytopenia,,198.0,1.0,Blood disorders,Thrombocytopenias,3,pfizer,Table 24
97,Thrombocytopenic purpura,,6.0,0.0,Blood disorders,Thrombocytopenias,3,pfizer,Table 24
98,Thrombotic thrombocytopenic purpura,,6.0,0.0,Blood disorders,Thrombocytopenias,3,pfizer,Table 24
99,Thrombocytoses,,,,Blood disorders,,2,pfizer,Table 24
100,Thrombocytosis,,6.0,0.0,Blood disorders,Thrombocytoses,3,pfizer,Table 24
101,Blood disorders SOC TOTAL,,12214.0,3.0,Blood disorders,Thrombocytoses,4,pfizer,Table 24
1,Cardiac disorders,,,,Cardiac disorders,,1,pfizer,Table 24
2,Aortic valvular disorders,,,,Cardiac disorders,,2,pfizer,Table 24
3,Aortic valve incompetence,,1.0,0.0,Cardiac disorders,Aortic valvular disorders,3,pfizer,Table 24
4,Cardiac conduction disorders,,,,Cardiac disorders,,2,pfizer,Table 24
5,Atrioventricular block,,14.0,1.0,Cardiac disorders,Cardiac conduction disorders,3,pfizer,Table 24
6,Atrioventricular block complete,,2.0,1.0,Cardiac disorders,Cardiac conduction disorders,3,pfizer,Table 24
7,Atrioventricular block first degree,,1.0,0.0,Cardiac disorders,Cardiac conduction disorders,3,pfizer,Table 24
8,Atrioventricular block second degree,,2.0,0.0,Cardiac disorders,Cardiac conduction disorders,3,pfizer,Table 24
9,Bundle branch block,,2.0,0.0,Cardiac disorders,Cardiac conduction disorders,3,pfizer,Table 24
10,Bundle branch block left,,2.0,0.0,Cardiac disorders,Cardiac conduction disorders,3,pfizer,Table 24
11,Bundle branch block right,,1.0,0.0,Cardiac disorders,Cardiac conduction disorders,3,pfizer,Table 24
12,Cardiac disorders NEC,,,,Cardiac disorders,,2,pfizer,Table 24
13,Acute cardiac event,,3.0,0.0,Cardiac disorders,Cardiac disorders NEC,3,pfizer,Table 24
14,Cardiac disorder,,51.0,0.0,Cardiac disorders,Cardiac disorders NEC,3,pfizer,Table 24
15,Cardiac dysfunction,,1.0,0.0,Cardiac disorders,Cardiac disorders NEC,3,pfizer,Table 24
16,Cardiovascular deconditioning,,1.0,0.0,Cardiac disorders,Cardiac disorders NEC,3,pfizer,Table 24
17,Cardiovascular disorder,,5.0,0.0,Cardiac disorders,Cardiac disorders NEC,3,pfizer,Table 24
18,Intracardiac thrombus,,6.0,0.0,Cardiac disorders,Cardiac disorders NEC,3,pfizer,Table 24
19,Cardiac hypertensive complications,,,,Cardiac disorders,,2,pfizer,Table 24
20,Hypertensive heart disease,,1.0,0.0,Cardiac disorders,Cardiac hypertensive complications,3,pfizer,Table 24
21,Cardiac infections and inflammations NEC,,,,Cardiac disorders,,2,pfizer,Table 24
22,Carditis,,2.0,0.0,Cardiac disorders,Cardiac infections and inflammations NEC,3,pfizer,Table 24
23,Cardiac neoplasms NEC,,,,Cardiac disorders,,2,pfizer,Table 24
24,Pericardial cyst,,1.0,0.0,Cardiac disorders,Cardiac neoplasms NEC,3,pfizer,Table 24
25,Cardiac signs and symptoms NEC,,,,Cardiac disorders,,2,pfizer,Table 24
26,Cardiac discomfort,,18.0,0.0,Cardiac disorders,Cardiac signs and symptoms NEC,3,pfizer,Table 24
27,Cardiovascular symptom,,1.0,0.0,Cardiac disorders,Cardiac signs and symptoms NEC,3,pfizer,Table 24
28,Palpitations,,3104.0,1.0,Cardiac disorders,Cardiac signs and symptoms NEC,3,pfizer,Table 24
29,Cardiac valve disorders NEC,,,,Cardiac disorders,,2,pfizer,Table 24
30,Cardiac valve disease,,2.0,0.0,Cardiac disorders,Cardiac valve disorders NEC,3,pfizer,Table 24
31,Heart valve incompetence,,1.0,0.0,Cardiac disorders,Cardiac valve disorders NEC,3,pfizer,Table 24
32,Cardiomyopathies,,,,Cardiac disorders,,2,pfizer,Table 24
33,Cardiomyopathy,,4.0,0.0,Cardiac disorders,Cardiomyopathies,3,pfizer,Table 24
34,Congestive cardiomyopathy,,4.0,0.0,Cardiac disorders,Cardiomyopathies,3,pfizer,Table 24
35,Stress cardiomyopathy,,2.0,0.0,Cardiac disorders,Cardiomyopathies,3,pfizer,Table 24
36,Coronary artery disorders NEC,,,,Cardiac disorders,,2,pfizer,Table 24
37,Coronary artery disease,,6.0,3.0,Cardiac disorders,Coronary artery disorders NEC,3,pfizer,Table 24
38,Coronary artery occlusion,,2.0,0.0,Cardiac disorders,Coronary artery disorders NEC,3,pfizer,Table 24
39,Coronary artery thrombosis,,1.0,1.0,Cardiac disorders,Coronary artery disorders NEC,3,pfizer,Table 24
40,Endocarditis NEC,,,,Cardiac disorders,,2,pfizer,Table 24
41,Endocarditis noninfective,,1.0,1.0,Cardiac disorders,Endocarditis NEC,3,pfizer,Table 24
42,Heart failures NEC,,,,Cardiac disorders,,2,pfizer,Table 24
43,Cardiac failure,,64.0,8.0,Cardiac disorders,Heart failures NEC,3,pfizer,Table 24
44,Cardiac failure acute,,4.0,0.0,Cardiac disorders,Heart failures NEC,3,pfizer,Table 24
45,Cardiac failure chronic,,2.0,0.0,Cardiac disorders,Heart failures NEC,3,pfizer,Table 24
46,Cardiac failure congestive,,3.0,1.0,Cardiac disorders,Heart failures NEC,3,pfizer,Table 24
47,Cardiogenic shock,,4.0,1.0,Cardiac disorders,Heart failures NEC,3,pfizer,Table 24
48,Cardiopulmonary failure,,1.0,1.0,Cardiac disorders,Heart failures NEC,3,pfizer,Table 24
49,Ischaemic coronary artery disorders,,,,Cardiac disorders,,2,pfizer,Table 24
50,Acute coronary syndrome,,3.0,0.0,Cardiac disorders,Ischaemic coronary artery disorders,3,pfizer,Table 24
51,Acute myocardial infarction,,20.0,1.0,Cardiac disorders,Ischaemic coronary artery disorders,3,pfizer,Table 24
52,Angina pectoris,,180.0,1.0,Cardiac disorders,Ischaemic coronary artery disorders,3,pfizer,Table 24
53,Angina unstable,,2.0,0.0,Cardiac disorders,Ischaemic coronary artery disorders,3,pfizer,Table 24
54,Arteriospasm coronary,,3.0,0.0,Cardiac disorders,Ischaemic coronary artery disorders,3,pfizer,Table 24
55,Cardiac disorders     Cardiac disorders cont'd,,,,Cardiac disorders,,2,pfizer,Table 24
56,Microvascular coronary artery disease,,2.0,0.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
57,Myocardial infarction,,191.0,32.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
58,Myocardial ischaemia,,8.0,4.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
59,Left ventricular failures,,,,Cardiac disorders,,2,pfizer,Table 24
60,Acute left ventricular failure,,1.0,1.0,Cardiac disorders,Left ventricular failures,3,pfizer,Table 24
61,Left ventricular failure,,7.0,2.0,Cardiac disorders,Left ventricular failures,3,pfizer,Table 24
62,Mitral valvular disorders,,,,Cardiac disorders,,2,pfizer,Table 24
63,Mitral valve incompetence,,6.0,0.0,Cardiac disorders,Mitral valvular disorders,3,pfizer,Table 24
64,Mitral valve prolapse,,1.0,0.0,Cardiac disorders,Mitral valvular disorders,3,pfizer,Table 24
65,Myocardial disorders NEC,,,,Cardiac disorders,,2,pfizer,Table 24
66,Cardiac amyloidosis,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
67,Cardiomegaly,,27.0,2.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
68,Left atrial dilatation,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
69,Left ventricular dysfunction,,7.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
70,Left ventricular enlargement,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
71,Left ventricular hypertrophy,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
72,Myocardial fibrosis,,4.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
73,Myocardial haemorrhage,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
74,Myocardial oedema,,4.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
75,Myocardial rupture,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
76,Right ventricular enlargement,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
77,Ventricular hypertrophy,,1.0,0.0,Cardiac disorders,Myocardial disorders NEC,3,pfizer,Table 24
78,Noninfectious myocarditis,,,,Cardiac disorders,,2,pfizer,Table 24
79,Myocarditis,,380.0,1.0,Cardiac disorders,Noninfectious myocarditis,3,pfizer,Table 24
80,Noninfectious pericarditis,,,,Cardiac disorders,,2,pfizer,Table 24
81,Pericarditis,,288.0,1.0,Cardiac disorders,Noninfectious pericarditis,3,pfizer,Table 24
82,Pericardial disorders NEC,,,,Cardiac disorders,,2,pfizer,Table 24
83,Pericardial effusion,,29.0,0.0,Cardiac disorders,Pericardial disorders NEC,3,pfizer,Table 24
84,Pericardial fibrosis,,1.0,0.0,Cardiac disorders,Pericardial disorders NEC,3,pfizer,Table 24
85,Pericardial haemorrhage,,3.0,3.0,Cardiac disorders,Pericardial disorders NEC,3,pfizer,Table 24
86,Pericardial rub,,2.0,0.0,Cardiac disorders,Pericardial disorders NEC,3,pfizer,Table 24
87,Rate and rhythm disorders NEC,,,,Cardiac disorders,,2,pfizer,Table 24
88,Arrhythmia,,119.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
89,Bradycardia,,55.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
90,Bradycardia foetal,,2.0,1.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
91,Cardiac flutter,,385.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
92,Extrasystoles,,137.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
93,Heart alternation,,1.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
94,Paroxysmal arrhythmia,,1.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
95,Postural orthostatic tachycardia syndrome,,18.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
96,Tachyarrhythmia,,2.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
97,Tachycardia,,747.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
98,Tachycardia foetal,,1.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
99,Tachycardia paroxysmal,,1.0,0.0,Cardiac disorders,Rate and rhythm disorders NEC,3,pfizer,Table 24
100,Right ventricular failures,,,,Cardiac disorders,,2,pfizer,Table 24
101,Cor pulmonale,,1.0,0.0,Cardiac disorders,Right ventricular failures,3,pfizer,Table 24
102,Supraventricular arrhythmias,,,,Cardiac disorders,,2,pfizer,Table 24
103,Arrhythmia supraventricular,,10.0,0.0,Cardiac disorders,Supraventricular arrhythmias,3,pfizer,Table 24
104,Atrial fibrillation,,175.0,0.0,Cardiac disorders,Supraventricular arrhythmias,3,pfizer,Table 24
105,Atrial flutter,,23.0,0.0,Cardiac disorders,Supraventricular arrhythmias,3,pfizer,Table 24
106,Atrial tachycardia,,7.0,0.0,Cardiac disorders,Supraventricular arrhythmias,3,pfizer,Table 24
107,Nodal arrhythmia,,1.0,0.0,Cardiac disorders,Supraventricular arrhythmias,3,pfizer,Table 24
108,Sinus arrest,,1.0,0.0,Cardiac disorders,Supraventricular arrhythmias,3,pfizer,Table 24
109,Cardiac disorders     Cardiac disorders cont'd,,,,Cardiac disorders,,2,pfizer,Table 24
110,Sinus arrhythmia,,2.0,0.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
111,Sinus bradycardia,,10.0,0.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
112,Sinus node dysfunction,,1.0,0.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
113,Sinus tachycardia,,52.0,0.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
114,Supraventricular extrasystoles,,2.0,0.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
115,Supraventricular tachycardia,,36.0,0.0,Cardiac disorders,Cardiac disorders     Cardiac disorders cont'd,3,pfizer,Table 24
116,Tricuspid valvular disorders,,,,Cardiac disorders,,2,pfizer,Table 24
117,Tricuspid valve incompetence,,4.0,0.0,Cardiac disorders,Tricuspid valvular disorders,3,pfizer,Table 24
118,Ventricular arrhythmias and cardiac arrest,,,,Cardiac disorders,,2,pfizer,Table 24
119,Cardiac arrest,,92.0,36.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,3,pfizer,Table 24
120,Cardio-respiratory arrest,,1.0,1.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,3,pfizer,Table 24
121,Pulseless electrical activity,,3.0,0.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,3,pfizer,Table 24
122,Ventricular arrhythmia,,5.0,0.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,3,pfizer,Table 24
123,Ventricular extrasystoles,,20.0,0.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,3,pfizer,Table 24
124,Ventricular fibrillation,,6.0,1.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,3,pfizer,Table 24
125,Ventricular tachycardia,,10.0,0.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,3,pfizer,Table 24
126,Cardiac disorders SOC TOTAL,,6428.0,106.0,Cardiac disorders,Ventricular arrhythmias and cardiac arrest,4,pfizer,Table 24
1,Congenital disorders,,,,Congenital disorders,,1,pfizer,Table 24
2,Autosomal chromosomal abnormalities,,,,Congenital disorders,,2,pfizer,Table 24
3,Trisomy 8,,1.0,0.0,Congenital disorders,Autosomal chromosomal abnormalities,3,pfizer,Table 24
4,Cardiac disorders congenital NEC,,,,Congenital disorders,,2,pfizer,Table 24
5,Heart disease congenital,,12.0,0.0,Congenital disorders,Cardiac disorders congenital NEC,3,pfizer,Table 24
6,Cardiac hypoplasias congenital,,,,Congenital disorders,,2,pfizer,Table 24
7,Ventricular hypoplasia,,1.0,0.0,Congenital disorders,Cardiac hypoplasias congenital,3,pfizer,Table 24
8,Cardiac septal defects congenital,,,,Congenital disorders,,2,pfizer,Table 24
9,Atrial septal defect,,2.0,0.0,Congenital disorders,Cardiac septal defects congenital,3,pfizer,Table 24
10,Hypertrophic cardiomyopathy,,1.0,0.0,Congenital disorders,Cardiac septal defects congenital,3,pfizer,Table 24
11,Ventricular septal defect,,1.0,0.0,Congenital disorders,Cardiac septal defects congenital,3,pfizer,Table 24
12,Cardiac valve disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
13,Bicuspid aortic valve,,1.0,0.0,Congenital disorders,Cardiac valve disorders congenital,3,pfizer,Table 24
14,Central nervous system disorders congenital NEC,,,,Congenital disorders,,2,pfizer,Table 24
15,Spina bifida,,1.0,0.0,Congenital disorders,Central nervous system disorders congenital NEC,3,pfizer,Table 24
16,Syringomyelia,,1.0,0.0,Congenital disorders,Central nervous system disorders congenital NEC,3,pfizer,Table 24
17,Cerebellar disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
18,Arnold-Chiari malformation,,1.0,0.0,Congenital disorders,Cerebellar disorders congenital,3,pfizer,Table 24
19,Hereditary ataxia,,1.0,0.0,Congenital disorders,Cerebellar disorders congenital,3,pfizer,Table 24
20,Cerebral disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
21,Anencephaly,,2.0,0.0,Congenital disorders,Cerebral disorders congenital,3,pfizer,Table 24
22,Cerebral palsy,,3.0,0.0,Congenital disorders,Cerebral disorders congenital,3,pfizer,Table 24
23,Coagulation disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
24,Haemophilia,,2.0,0.0,Congenital disorders,Coagulation disorders congenital,3,pfizer,Table 24
25,Congenital disorders NEC,,,,Congenital disorders,,2,pfizer,Table 24
26,Foetal malformation,,1.0,0.0,Congenital disorders,Congenital disorders NEC,3,pfizer,Table 24
27,Heterotaxia,,1.0,0.0,Congenital disorders,Congenital disorders NEC,3,pfizer,Table 24
28,Young's syndrome,,1.0,0.0,Congenital disorders,Congenital disorders NEC,3,pfizer,Table 24
29,Connective tissue disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
30,Ehlers-Danlos syndrome,,2.0,0.0,Congenital disorders,Connective tissue disorders congenital,3,pfizer,Table 24
31,Gastrointestinal tract disorders congenital NEC,,,,Congenital disorders,,2,pfizer,Table 24
32,Gastroschisis,,2.0,0.0,Congenital disorders,Gastrointestinal tract disorders congenital NEC,3,pfizer,Table 24
33,Great vessel disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
34,Congenital great vessel anomaly,,1.0,0.0,Congenital disorders,Great vessel disorders congenital,3,pfizer,Table 24
35,Transposition of the great vessels,,1.0,0.0,Congenital disorders,Great vessel disorders congenital,3,pfizer,Table 24
36,Haematological disorders congenital NEC,,,,Congenital disorders,,2,pfizer,Table 24
37,Amegakaryocytic thrombocytopenia,,1.0,0.0,Congenital disorders,Haematological disorders congenital NEC,3,pfizer,Table 24
38,Neonatal alloimmune thrombocytopenia,,1.0,0.0,Congenital disorders,Haematological disorders congenital NEC,3,pfizer,Table 24
39,Haemoglobinopathies congenital,,,,Congenital disorders,,2,pfizer,Table 24
40,Congenital methaemoglobinaemia,,1.0,0.0,Congenital disorders,Haemoglobinopathies congenital,3,pfizer,Table 24
41,Inborn errors of metabolism NEC,,,,Congenital disorders,,2,pfizer,Table 24
42,Alpha-1 antitrypsin deficiency,,1.0,0.0,Congenital disorders,Inborn errors of metabolism NEC,3,pfizer,Table 24
43,Inborn errors of porphyrin metabolism,,,,Congenital disorders,,2,pfizer,Table 24
44,Porphyria,,1.0,0.0,Congenital disorders,Inborn errors of porphyrin metabolism,3,pfizer,Table 24
45,Lymphatic system disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
46,Cystic lymphangioma,,3.0,0.0,Congenital disorders,Lymphatic system disorders congenital,3,pfizer,Table 24
47,Male reproductive tract disorders congenital,,,,Congenital disorders,,2,pfizer,Table 24
48,Cryptorchism,,1.0,0.0,Congenital disorders,Male reproductive tract disorders congenital,3,pfizer,Table 24
49,Micropenis,,3.0,0.0,Congenital disorders,Male reproductive tract disorders congenital,3,pfizer,Table 24
